name,id
Argentina,43922
Australia,43976
Belgium,43935
Brazil,43924
Colombia,43926
Costa Rica,43901
Croatia,43938
Denmark,43941
Egypt,43855
England,43942
France,43946
Germany,43948
Iceland,43951
IR Iran,43817
Japan,43819
Korea Republic,43822
Mexico,43911
Morocco,43872
Nigeria,43876
Panama,43914
Peru,43929
Poland,43962
Portugal,43963
Russia,43965
Saudi Arabia,43835
Senegal,43879
Serbia,1902465
Spain,43969
Sweden,43970
Switzerland,43971
Tunisia,43888
Uruguay,43930
