idHomeTeam,idAwayTeam,matchDate,scoreHome,scoreAway,venueName,idWinTeam,scorePenaltyAway,scorePenaltyHome,reasonWinCode,awayName,awayCode2,homeName,homeCode2,away_id,away_received,away_team_id,away_nummatch4,away_nummatch3,away_nummatch2,away_nummatch1,away_gamesyear1,away_pointsyear4,away_discountedyear4,away_pointsyear3,away_discountedyear3,away_pointsyear2,away_discountedyear2,away_pointsyear1,away_discountedyear1,away_pointsyear234,away_points,away_rank,home_id,home_received,home_team_id,home_nummatch4,home_nummatch3,home_nummatch2,home_nummatch1,home_gamesyear1,home_pointsyear4,home_discountedyear4,home_pointsyear3,home_discountedyear3,home_pointsyear2,home_discountedyear2,home_pointsyear1,home_discountedyear1,home_pointsyear234,home_points,home_rank
43935,43888,2018-06-23 14:00:00,,,Moscow,,0,0,0,Tunisia,tn,Belgium,be,825,2018-06-11 22:54:58,43888,13,16,12,9,8,493.39,98.68,227.59,68.28,394.79,197.39,3762.58,545.56,391.9,910,21,807,2018-06-11 22:54:58,43935,14,10,13,9,8,932.92,186.58,529.8,158.94,645.63,322.82,4912.49,629.98,572.28,1298,3
43822,43911,2018-06-23 17:00:00,,,Rostov-On-Don,,0,0,0,Mexico,mx,Korea Republic,kr,819,2018-06-11 22:54:58,43911,16,23,14,25,13,457.54,91.51,579.97,173.99,506.78,253.39,5176.7,470.55,526.05,989,15,861,2018-06-11 22:54:58,43822,18,16,8,18,16,329.82,65.96,305.97,91.79,447.58,223.79,2850.26,162.13,346.99,544,57
43948,43970,2018-06-23 20:00:00,,,Sochi,,0,0,0,Sweden,se,Germany,de,828,2018-06-11 22:54:58,43970,9,12,10,11,9,372.19,74.44,370.1,111.03,431.99,215.99,3710.52,478.44,468.13,880,24,805,2018-06-11 22:54:58,43948,14,10,15,15,9,1200.77,240.15,424.26,127.28,832,416,4749.53,775.06,716.53,1558,1
43942,43914,2018-06-24 14:00:00,,,Nizhny Novgorod,,0,0,0,Panama,pa,England,gb-eng,859,2018-06-11 22:54:58,43914,13,20,15,16,12,209.29,41.86,326.3,97.89,309,154.5,2620.18,276.92,321.86,571,55,817,2018-06-11 22:54:58,43942,13,12,11,11,9,517.6,103.52,580.49,174.15,593.51,296.75,4896.59,476.42,547.86,1051,13
43819,43879,2018-06-24 17:00:00,,,Ekaterinburg,,0,0,0,Senegal,sn,Japan,jp,831,2018-06-11 22:54:58,43879,10,15,9,13,11,584.93,116.99,280.3,84.09,537.34,268.67,4107.4,368.23,439.32,838,27,865,2018-06-11 22:54:58,43819,15,14,9,14,12,338.88,67.78,273.24,81.97,413.01,206.5,2028.53,164.51,346.99,521,61
43962,43926,2018-06-24 20:00:00,,,Kazan,,0,0,0,Colombia,co,Poland,pl,820,2018-06-11 22:54:58,43926,13,13,14,11,9,831.89,166.38,665.76,199.73,655.57,327.78,2557.69,292.09,572.3,986,16,812,2018-06-11 22:54:58,43962,5,11,11,9,8,608.45,121.69,375.17,112.55,896.94,448.47,3355.62,499.9,695.08,1183,8
43835,43855,2018-06-25 16:00:00,,,Volgograd,,0,0,0,Egypt,eg,Saudi Arabia,sa,849,2018-06-11 22:54:58,43855,7,11,12,10,9,253.18,50.64,331.62,99.48,582.07,291.04,2082.7,208.27,421.48,649,45,871,2018-06-11 22:54:58,43835,14,8,10,16,15,135.09,27.02,380.91,114.27,360.2,180.1,2302.21,143.89,304.11,465,67
43930,43965,2018-06-25 16:00:00,,,Samara,,0,0,0,Russia,ru,Uruguay,uy,874,2018-06-11 22:54:58,43965,12,11,11,11,7,368.5,73.7,362.25,108.68,216.18,108.09,762.32,166.07,289.51,457,70,818,2018-06-11 22:54:58,43930,12,14,11,9,8,599.26,119.85,561.47,168.44,487.69,243.84,4376.48,486.28,464.1,1018,14
43817,43963,2018-06-25 20:00:00,,,Saransk,,0,0,0,Portugal,pt,IR Iran,ir,808,2018-06-11 22:54:58,43963,11,12,16,16,10,627.63,125.53,517.77,155.33,691.82,345.91,5076.19,646.92,637.99,1274,4,841,2018-06-11 22:54:58,43817,11,11,11,12,11,398.22,79.64,308.01,92.4,492.04,246.02,2603.67,290.29,458.76,708,37
43969,43872,2018-06-25 20:00:00,,,Kaliningrad,,0,0,0,Morocco,ma,Spain,es,845,2018-06-11 22:54:58,43872,6,16,13,17,16,170.43,34.09,366.78,110.03,345.29,172.65,6274.71,369.1,317.72,686,41,814,2018-06-11 22:54:58,43969,12,11,13,11,9,443.99,88.8,646.4,193.92,611.48,305.74,5238.3,537.05,559.98,1126,10
